index;x;y;z
273;-0.145905;-0.651321;0.384842
274;-0.677277;-0.760071;-0.233124
275;-0.128708;-1.221802;-0.326096
276;0.014282;-1.336945;0.053452
277;-0.470398;-1.613785;0.157776
278;-0.605652;-1.056503;0.129868
279;-1.157822;-1.067383;0.329803
280;-0.916962;-1.229172;0.046951
281;-0.260162;-0.920181;0.094803
282;-0.271240;-0.707443;0.093903
283;-0.163773;0.012665;0.011505
284;-0.294800;-0.017075;-0.041779
285;-0.299194;-0.325592;-0.752853
286;-1.271484;-1.064011;-1.380554
287;-0.176193;-0.573700;-0.995361
288;-1.733673;-1.525772;0.278076
289;-0.355515;0.203278;-0.507095
290;-0.636322;-0.688797;0.398514
291;-0.582428;-1.616867;-0.191162
292;-0.153671;-0.796722;-0.054443
293;-0.433014;-0.560593;-0.170883
294;-0.148834;-0.749771;0.286667
295;-0.591263;-0.728760;-0.268219
296;-0.421799;-1.125443;-0.260269
297;0.201065;-1.379761;0.094635
298;-0.725098;-1.445633;-0.031189
299;-0.524063;-1.135071;0.243073
300;-1.105301;-1.211487;0.389984
301;-1.030914;-1.165009;0.089935
302;-0.417297;-0.762253;0.034256
303;-0.204025;-0.878052;0.065231
304;-0.189331;-0.071106;0.098358
305;-0.217743;0.085800;-0.017181
306;-0.292267;-0.386978;-0.660309
307;-1.320663;-1.027939;-1.497391
308;0.098419;-0.694778;-1.185013
309;-1.191315;-0.662292;0.772537
310;-0.236465;-0.056915;0.338074
311;-0.729904;-0.684906;0.617844
312;-0.617859;-1.404480;0.243149
313;-0.012222;-0.854080;-0.400482
314;-0.393127;-0.590912;0.046768
315;-0.268066;-0.714523;0.153931
316;-0.429932;-0.705078;-0.415817
317;-0.300720;-1.179398;-0.158173
318;0.024063;-1.217728;0.023636
319;-0.431946;-1.544846;-0.154831
320;-0.597946;-1.197235;0.280960
321;-1.138794;-1.145950;0.361145
322;-1.125168;-1.338013;0.094559
323;-0.452820;-0.740265;-0.062317
324;-0.134293;-0.810822;0.139893
325;-0.106705;-0.094345;0.042892
326;-0.279449;0.039597;0.080841
327;-0.313293;-0.232529;-0.490967
328;-1.141693;-1.142242;-1.842560
329;-0.186569;-0.764420;-1.107635
330;-1.607269;-1.463058;0.263611
331;-0.414154;0.453293;-0.483368
332;-0.725601;-0.956726;0.273651
333;-0.488647;-1.421097;-0.010544
334;-0.181381;-0.810867;-0.077377
335;-0.418533;-0.627029;-0.190155
336;-0.200241;-0.739456;0.212540
337;-0.297272;-0.608307;-0.306976
338;-0.459244;-1.129440;0.008835
339;-0.150879;-1.221375;-0.038223
340;-0.503647;-1.317169;-0.380966
341;-0.310287;-1.520996;0.334442
342;-1.142319;-0.867722;0.228317
343;-1.215134;-1.449066;-0.007889
344;-0.474548;-0.906921;-0.112305
345;-0.242828;-0.978821;0.127823
346;-0.160324;-0.225037;0.141235
347;-0.253479;0.140747;0.040421
348;-0.220413;-0.175644;-0.264297
349;-0.406372;-0.833908;-1.504700
350;-1.330658;-1.256546;-1.126511
351;-0.251389;-0.394745;-0.682098
352;-0.745422;-1.485352;0.275909
353;-0.574097;-0.591309;0.738739
354;-0.686539;-0.974808;0.187073
355;-0.225082;-1.275070;-0.212738
356;-0.248077;-0.609451;-0.083817
357;-0.372971;-0.647095;-0.094269
358;-0.213913;-0.689362;0.061493
359;-0.577103;-1.003601;-0.156387
360;-0.228104;-1.077667;-0.147385
361;-0.139648;-1.366852;-0.089462
362;-0.338623;-1.721191;0.279068
363;-0.849121;-0.888351;0.111298
364;-1.228333;-1.416122;0.074890
365;-0.685715;-0.965866;-0.110001
366;-0.110519;-0.965698;0.117584
367;-0.173004;-0.479507;0.195343
368;-0.328140;0.098785;0.058945
369;-0.180893;-0.101410;-0.171524
370;-0.330139;-0.540924;-1.070435
371;-1.201187;-1.464615;-1.189224
372;0.223267;0.039658;-1.315247
373;-2.666855;-1.760895;-0.388321
374;-0.126892;0.464355;-0.188965
375;-0.675476;-0.948853;0.178146
376;-0.380493;-1.744446;-0.263672
377;-0.311493;-0.646759;-0.021240
378;-0.445450;-0.541153;-0.041534
379;-0.116364;-0.723343;0.388596
380;-0.615463;-0.822876;-0.458527
381;-0.303513;-1.123199;-0.342667
382;0.093369;-1.332474;0.034149
383;-0.317184;-1.607361;0.055740
384;-0.594345;-1.244934;0.298370
385;-1.086884;-1.116104;0.336777
386;-0.951324;-1.300354;0.051880
387;-0.380386;-0.879608;-0.096939